Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Revenue
The Collection,2012-11-30,https://en.wikipedia.org/wiki/The_Collection_(film),Horror,Marcus Dunstan,,Josh Stewart,Emma Fitzpatrick,,,,"1,00,00,000","$89,00,000.00"
The Conjuring,2013-07-19,https://en.wikipedia.org/wiki/The_Conjuring_(film),Thriller,James Wan,,Patrick Wilson,Vera Farmiga,Ron Livingston,Lili Taylor,Shannon Kook,"2,00,00,000","$31,80,00,000.00"
The Conjuring 2,2016-06-07,https://en.wikipedia.org/wiki/The_Conjuring_2,Horror,James Wan,,Patrick Wilson,Vera Farmiga,,,,"4,00,00,000","$31,95,00,000.00"
The Croods,2013-03-22,https://en.wikipedia.org/wiki/The_Croods,Adventure,Chris Sanders,Kirk DeMicco,Nicolas Cage,Ryan Reynolds,Emma Stone,Catherine Keener,Clark Duke,"13,50,00,000","$58,72,00,000.00"
The Danish Girl,2015-09-05,https://en.wikipedia.org/wiki/The_Danish_Girl_(film),Drama,Tom Hooper,,Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Ben Whishaw,,"1,50,00,000","$6,42,00,000.00"
The Darkness,2016-05-13,https://en.wikipedia.org/wiki/The_Darkness_(film),Horror,Greg McLean,,Kevin Bacon,Radha Mitchell,David Mazouz,Lucy Fry,Matt Walsh,"40,00,000","$1,09,00,000.00"
The Devil Inside,2012-01-06,https://en.wikipedia.org/wiki/The_Devil_Inside_(film),Horror,William Brent Bell,,Suzan Crowley,Fernanda Andrade,Simon Quarterman,Evan Helmuth,,"10,00,000","$10,18,00,000.00"
The Dictator,2012-05-16,https://en.wikipedia.org/wiki/The_Dictator_(2012_film),Comedy,Larry Charles,,Sacha Baron Cohen,Ben Kingsley,Anna Faris,Megan Fox,John C. Reilly,"6,50,00,000","$17,94,00,000.00"
The Divergent Series: Allegiant,2016-03-18,https://en.wikipedia.org/wiki/The_Divergent_Series:_Allegiant,Adventure,Robert Schwentke,,Shailene Woodley,Theo James,Naomi Watts,Jeff Daniels,Ansel Elgort,"11,00,00,000","$17,92,00,000.00"
The Divergent Series: Insurgent,2015-03-19,https://en.wikipedia.org/wiki/The_Divergent_Series:_Insurgent,Sci-Fi,Robert Schwentke,,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Naomi Watts,"11,00,00,000","$29,73,00,000.00"
The Drop,2014-09-12,https://en.wikipedia.org/wiki/The_Drop_(film),Drama,Michaël R. Roskam,,Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts,John Ortiz,"1,26,00,000","$1,87,00,000.00"
The Duff,2015-02-12,https://en.wikipedia.org/wiki/The_Duff,Comedy,Ari Sandel,,Mae Whitman,Robbie Amell,Bella Thorne,Bianca A. Santos,Allison Janney,"85,00,000","$4,35,00,000.00"
The East,2013-05-31,https://en.wikipedia.org/wiki/The_East_(film),Crime,Zal Batmanglij,,Brit Marling,Alexander Skarsgard,Ellen Page,Julia Ormond,Patricia Clarkson,"65,00,000","$24,00,000.00"
The Equalizer,2014-09-07,https://en.wikipedia.org/wiki/The_Equalizer_(film),Thriller,Antoine Fuqua,,Denzel Washington,Chloë Grace Moretz,Marton Csokas,David Harbour,Bill Pullman,"5,50,00,000","$19,23,00,000.00"
The Expendables 2,2012-08-17,https://en.wikipedia.org/wiki/The_Expendables_2,Action,Simon West,,Sylvester Stallone,Jason Statham,Dolph Lundgren,Terry Crews,Randy Couture,"10,00,00,000","$30,54,00,000.00"
The Expendables 3,2014-08-04,https://en.wikipedia.org/wiki/The_Expendables_3,Action,Patrick Hughes,,Sylvester Stallone,Arnold Schwarzenegger,Harrison Ford,Mel Gibson,Jason Statham,"9,00,00,000","$20,62,00,000.00"
The Family,2013-09-13,https://en.wikipedia.org/wiki/The_Family_(2013_film),Crime,Luc Besson,,Robert De Niro,Michelle Pfeiffer,Dianna Agron,Tommy Lee Jones,Vincent Pastore,"3,00,00,000","$7,84,00,000.00"
The Fault in Our Stars,2014-05-16,https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars_(film),Drama,Josh Boone,,Shailene Woodley,Ansel Elgort,,,,"1,30,00,000","$30,72,00,000.00"
The Five-Year Engagement,2012-04-27,https://en.wikipedia.org/wiki/The_Five-Year_Engagement,Comedy,Nicholas Stoller,,Jason Segel,Emily Blunt,Chris Pratt,Alison Brie,Rhys Ifans,"3,00,00,000","$5,39,00,000.00"
The Forest,2016-01-08,https://en.wikipedia.org/wiki/The_Forest_(2016_film),Horror,Jason Zada,,Natalie Dormer,Taylor Kinney,,,,"1,00,00,000","$3,76,00,000.00"
