Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Revenue
The Second Best Exotic Marigold Hotel,2015-02-26,https://en.wikipedia.org/wiki/The_Second_Best_Exotic_Marigold_Hotel,Comedy,John Madden,,Judi Dench,Bill Nighy,Maggie Smith,Richard Gere,Celia Imrie,"1,00,00,000","$8,60,00,000.00"
The Second Mother,2015-01-25,https://en.wikipedia.org/wiki/The_Second_Mother_(2015_film),Drama,Anna Muylaert,,Regina Casé,Michel Joelsas,Camila Márdila,,,"40,00,000","$62,00,000.00"
The Secret Life of Pets,2016-07-08,https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets,Adventure,Chris Renaud,Yarrow Cheney,Louis C.K.,Eric Stonestreet,Kevin Hart,Albert Brooks,Hannibal Buress,"7,50,00,000","$72,49,00,000.00"
The Secret World of Arrietty,2012-02-17,https://en.wikipedia.org/wiki/Arrietty,Adventure,Gary Rydstrom,,Will Arnett,Amy Poehler,Carol Burnett,Bridgit Mendler,David Henrie,"2,30,00,000","$14,56,00,000.00"
The Shallows,2016-06-21,https://en.wikipedia.org/wiki/The_Shallows_(film),Horror,Jaume Collet-Serra,,Blake Lively,Óscar Jaenada,,,,"1,70,00,000","$9,32,00,000.00"
The Signal,2014-01-20,https://en.wikipedia.org/wiki/The_Signal_(2014_film),Sci-Fi,William Eubank,,Brenton Thwaites,Olivia Cooke,Sarah Clarke,Laurence Fishburne,,"40,00,000","$24,20,000.00"
The Single Moms Club,2014-03-14,https://en.wikipedia.org/wiki/The_Single_Moms_Club,Comedy,Tyler Perry,,Tyler Perry,Nia Long,Wendi McLendon-Covey,Zulay Henao,Cocoa Brown,"80,00,000","$1,63,00,000.00"
The Smurfs 2,2013-07-31,https://en.wikipedia.org/wiki/The_Smurfs_2,Adventure,Raja Gosnell,,Neil Patrick Harris,Jayma Mays,Hank Azaria,Tim Gunn,Brendan Gleeson,"10,50,00,000","$34,75,00,000.00"
The Spectacular Now,2013-08-02,https://en.wikipedia.org/wiki/The_Spectacular_Now,Drama,James Ponsoldt,,Miles Teller,Shailene Woodley,Kaitlyn Dever,Brie Larson,Dayo Okeniyi,"25,00,000","$69,00,000.00"
The SpongeBob Movie: Sponge Out of Water,2015-02-06,https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water,Adventure,Paul Tibbitt,Jonathan Aibel,Paul Tibbitt (director),Jonathan Aibel,Glenn Berger(screenplay),Antonio Banderas,Tom Kenny,"7,40,00,000","$32,34,00,000.00"
The Sweet Escape,2015-06-10,https://en.wikipedia.org/wiki/The_Sweet_Escape_(film),Comedy,Bruno Podalydès,,Bruno Podalydès,Sandrine Kiberlain,Agnès Jaoui,Vimala Pons,,"38,00,000","$33,00,000.00"
The Theory of Everything,2014-09-07,https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),Biography,James Marsh,,Eddie Redmayne,Felicity Jones,,,,"1,50,00,000","$12,37,00,000.00"
The Three Stooges,2012-04-13,https://en.wikipedia.org/wiki/The_Three_Stooges_(film),Comedy,Bobby Farrelly,Peter Farrelly,Chris Diamantopoulos,Sean Hayes,Will Sasso,Jane Lynch,Larry David,"3,00,00,000","$5,48,00,000.00"
The Transporter Refueled,2015-09-04,https://en.wikipedia.org/wiki/The_Transporter_Refueled,Action,Camille Delamarre,,Ed Skrein,Ray Stevenson,Loan Chabanol,Gabriella Wright,,"2,50,00,000","$7,26,00,000.00"
The Twilight Saga: Breaking Dawn – Part 2,2012-11-16,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%25E2%2580%2593_Part_2,Fantasy,Bill Condon,,Kristen Stewart,Robert Pattinson,Michael Sheen,Mackenzie Foy,Billy Burke,"12,00,00,000","$82,97,00,000.00"
The Vatican Tapes,2015-07-25,https://en.wikipedia.org/wiki/The_Vatican_Tapes,Horror,Mark Neveldine,,Kathleen Robertson,Michael Peña,Djimon Hounsou,Dougray Scott,John Patrick Amedori,"1,30,00,000","$1,35,00,000.00"
The Visit,2015-09-08,https://en.wikipedia.org/wiki/The_Visit_(2015_American_film),Horror,M. Night Shyamalan,,Kathryn Hahn,Ed Oxenbould,Deanna Dunagan,Peter McRobbie,Olivia DeJonge,"50,00,000","$9,85,00,000.00"
The Walk,2015-09-30,https://en.wikipedia.org/wiki/The_Walk_(2015_film),Biography,Robert Zemeckis,,Joseph Gordon-Levitt,Ben Kingsley,James Badge Dale,Charlotte Le Bon,,"4,50,00,000","$6,12,00,000.00"
The Watch,2012-07-27,https://en.wikipedia.org/wiki/The_Watch_(2012_film),Comedy,Akiva Schaffer,,Ben Stiller,Vince Vaughn,Rosemarie DeWitt,Jonah Hill,Richard Ayoade,"6,80,00,000","$6,83,00,000.00"
The Water Diviner,2014-12-26,https://en.wikipedia.org/wiki/The_Water_Diviner,Drama,Russell Crowe,,Cem Yılmaz,Miyavi,Yılmaz Erdoğan,,,"2,25,00,000","$3,08,00,000.00"
"The Way, Way Back",2013-07-05,"https://en.wikipedia.org/wiki/The_Way,_Way_Back",Comedy,Nat Faxon,Jim Rash,Steve Carell,Toni Collette,Allison Janney,AnnaSophia Robb,Sam Rockwell,"50,00,000","$50,00,000.00"
The Wedding Ringer,2015-01-16,https://en.wikipedia.org/wiki/The_Wedding_Ringer,Romance,Jeremy Garelick,,Kevin Hart,Josh Gad,Kaley Cuoco,Olivia Thirlby,Alan Ritchson,"2,30,00,000","$7,98,00,000.00"
The Witch,2016-01-27,https://en.wikipedia.org/wiki/The_Witch_(2015_film),Horror,Robert Eggers,,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,,,"30,00,000","$4,04,00,000.00"
The Wolverine,2013-07-24,https://en.wikipedia.org/wiki/The_Wolverine_(film),Action,James Mangold,,Hugh Jackman,Famke Janssen,Hiroyuki Sanada,Hal Yamanouchi,Tao Okamoto,"12,00,00,000","$41,48,00,000.00"
The Woman in Black,2012-02-03,https://en.wikipedia.org/wiki/The_Woman_in_Black_(2012_film),Horror,James Watkins,,Daniel Radcliffe,Ciarán Hinds,Janet McTeer,Liz White,Alisa Khazanova,"1,50,00,000","$12,85,00,000.00"
The Woman in Black: Angel of Death,2014-12-30,https://en.wikipedia.org/wiki/The_Woman_in_Black:_Angel_of_Death,Horror,Tom Harper,,Phoebe Fox,Jeremy Irvine,Helen McCrory,Adrian Rawlins,Oaklee Pendergast,"1,50,00,000","$4,89,00,000.00"
The World's End,2013-07-19,https://en.wikipedia.org/wiki/The_World%2527s_End_(film),Comedy,Edgar Wright,,Simon Pegg,Nick Frost,Paddy Considine,Martin Freeman,Eddie Marsan,"2,00,00,000","$4,61,00,000.00"
The Young Messiah,2016-03-11,https://en.wikipedia.org/wiki/The_Young_Messiah_(film),Drama,Cyrus Nowrasteh,,Adam Greaves-Neal,Sean Bean,,,,"1,85,00,000","$72,00,000.00"
Think Like a Man,2012-04-20,https://en.wikipedia.org/wiki/Think_Like_a_Man,Comedy,Tim Story,,Kevin Hart,Michael Ealy,Taraji P. Henson,Jerry Ferrara,Meagan Good,"1,20,00,000","$9,61,00,000.00"
This Is the End,2013-06-12,https://en.wikipedia.org/wiki/This_Is_the_End,Comedy,Evan Goldberg,Seth Rogen,Seth Rogen,Jay Baruchel,James Franco,Craig Robinson,Danny McBride,"3,20,00,000","$12,60,00,000.00"
This Is Where I Leave You,2014-09-19,https://en.wikipedia.org/wiki/This_Is_Where_I_Leave_You,Comedy,Shawn Levy,,Jason Bateman,Tina Fey,Jane Fonda,Timothy Olyphant,Corey Stoll,"1,98,00,000","$4,13,00,000.00"
This Means War,2012-02-17,https://en.wikipedia.org/wiki/This_Means_War_(film),Action,McG,,Tom Hardy,Chris Pine,Reese Witherspoon,Chelsea Handler,Til Schweiger,"6,50,00,000","$15,65,00,000.00"
Top Five,2014-09-06,https://en.wikipedia.org/wiki/Top_Five,Comedy,Chris Rock,,Chris Rock,Rosario Dawson,Genevieve Angelson,Rachel Feinstein,Dan Naturman,"1,20,00,000","$2,61,00,000.00"
Top Gun 3D,2013-02-08,https://en.wikipedia.org/wiki/Top_Gun,Action,Tony Scott,,Tom Cruise,Kelly McGillis,Val Kilmer,James Tolkan,Tom Skerritt,"1,50,00,000","$35,68,00,000.00"
Total Recall,2012-08-03,https://en.wikipedia.org/wiki/Total_Recall_(2012_film),Action,Len Wiseman,,Colin Farrell,Jessica Biel,Bryan Cranston,Kate Beckinsale,Bill Nighy,"12,50,00,000","$19,85,00,000.00"
Trance,2013-03-27,https://en.wikipedia.org/wiki/Trance_(2013_film),Crime,Danny Boyle,,James McAvoy,Vincent Cassel,Rosario Dawson,Tuppence Middleton,Lee Nicholas Harris,"2,00,00,000","$2,43,00,000.00"
Transcendence,2014-04-10,https://en.wikipedia.org/wiki/Transcendence_(2014_film),Sci-Fi,Wally Pfister,,Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,"10,00,00,000","$10,30,00,000.00"
Triple 9,2016-02-16,https://en.wikipedia.org/wiki/Triple_9,Crime,John Hillcoat,,Kate Winslet,Woody Harrelson,Gal Gadot,Anthony Mackie,Teresa Palmer,"2,00,00,000","$2,34,00,000.00"
Trouble with the Curve,2012-09-21,https://en.wikipedia.org/wiki/Trouble_with_the_Curve,Drama,Robert Lorenz,,Clint Eastwood,Amy Adams,Matthew Lillard,Justin Timberlake,John Goodman,"6,00,00,000","$4,90,00,000.00"
Trumbo,2015-09-12,https://en.wikipedia.org/wiki/Trumbo_(2015_film),Drama,Jay Roach,,Bryan Cranston,Diane Lane,Helen Mirren,John Goodman,Elle Fanning,"1,50,00,000","$82,00,000.00"
Truth,2015-09-12,https://en.wikipedia.org/wiki/Truth_(2015_film),Drama,James Vanderbilt,,Robert Redford,Cate Blanchett,Dennis Quaid,Topher Grace,Elisabeth Moss,"96,00,000","$54,00,000.00"
Turbo,2013-07-17,https://en.wikipedia.org/wiki/Turbo_(film),Comedy,David Soren,,Ryan Reynolds,Paul Giamatti,Michael Peña,Luis Guzmán,Bill Hader,"12,70,00,000","$28,26,00,000.00"
Tusk,2014-09-06,https://en.wikipedia.org/wiki/Tusk_(2014_film),Horror,Kevin Smith,,Michael Parks,Justin Long,Haley Joel Osment,Génesis Rodríguez,Johnny Depp,"30,00,000","$19,00,000.00"
Unbroken,2014-11-17,https://en.wikipedia.org/wiki/Unbroken_(film),Drama,Angelina Jolie,,Jack O'Connell,Miyavi,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,"6,50,00,000","$16,34,00,000.00"
Unfinished Business,2015-03-06,https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film),Comedy,Ken Scott,,Vince Vaughn,Tom Wilkinson,Dave Franco,Sienna Miller,Nick Frost,"3,50,00,000","$1,44,00,000.00"
Unfriended,2014-07-20,https://en.wikipedia.org/wiki/Unfriended,Horror,Levan Gabriadze,,Shelley Hennig,Renee Olstead,Jacob Wysocki,Will Peltz,,"10,00,000","$6,41,00,000.00"
Vacation,2015-07-29,https://en.wikipedia.org/wiki/Vacation_(2015_film),Adventure,John Francis Daley,Jonathan Goldstein,Ed Helms,Christina Applegate,Leslie Mann,Chris Hemsworth,Charlie Day,"3,10,00,000","$10,49,00,000.00"
Vampire Academy,2014-02-07,https://en.wikipedia.org/wiki/Vampire_Academy_(film),Action,Mark Waters,,Zoey Deutch,Lucy Fry,Danila Kozlovsky,,,"3,00,00,000","$1,54,00,000.00"
Veronica Mars,2014-03-14,https://en.wikipedia.org/wiki/Veronica_Mars_(film),Mystery,Rob Thomas,,Kristen Bell,Jason Dohring,Krysten Ritter,Ryan Hansen,Francis Capra,"60,00,000","$35,00,000.00"
Victor Frankenstein,2015-11-25,https://en.wikipedia.org/wiki/Victor_Frankenstein_(film),Horror,Paul McGuigan,,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,,"4,00,00,000","$3,42,00,000.00"
Wanderlust,2012-02-24,https://en.wikipedia.org/wiki/Wanderlust_(2012_film),Comedy,David Wain,,Paul Rudd,Jennifer Aniston,Malin Akerman,Justin Theroux,Ken Marino,"3,50,00,000","$2,42,00,000.00"
War Dogs,2016-08-19,https://en.wikipedia.org/wiki/War_Dogs_(2016_film),Crime,Todd Phillips,,Jonah Hill,Miles Teller,Ana de Armas,J. B. Blanc,,"4,00,00,000","$4,27,00,000.00"
War Room,2015-08-28,https://en.wikipedia.org/wiki/War_Room_(film),Drama,Alex Kendrick,,Alex Kendrick,Priscilla Shirer,T.C. Stallings,Beth Moore,Karen Abercrombie,"30,00,000","$7,37,00,000.00"
Warcraft,2016-06-10,https://en.wikipedia.org/wiki/Warcraft_(film),Action,Duncan Jones,,Ben Foster,Travis Fimmel,Paula Patton,Toby Kebbell,Dominic Cooper,"16,00,00,000","$43,35,00,000.00"
Warm Bodies,2013-02-01,https://en.wikipedia.org/wiki/Warm_Bodies_(film),Comedy,Jonathan Levine,,Nicholas Hoult,Teresa Palmer,Rob Corddry,John Malkovich,Analeigh Tipton,"3,50,00,000","$11,70,00,000.00"
What Maisie Knew,2013-05-03,https://en.wikipedia.org/wiki/What_Maisie_Knew_(film),Drama,Scott McGehee,David Siegel,Julianne Moore,Steve Coogan,Alexander Skarsgård,Joanna Vanderham,Onata Aprile,"50,00,000","$27,00,000.00"
What to Expect When You're Expecting,2012-05-18,https://en.wikipedia.org/wiki/What_to_Expect_When_You%2527re_Expecting_(film),Comedy,Kirk Jones,,Cameron Diaz,Jennifer Lopez,Brooklyn Decker,Elizabeth Banks,Anna Kendrick,"4,00,00,000","$8,44,00,000.00"
When the Game Stands Tall,2014-08-04,https://en.wikipedia.org/wiki/When_the_Game_Stands_Tall,Religious,Thomas Carter,,Jim Caviezel,Laura Dern,Michael Chiklis,Alexander Ludwig,,"1,50,00,000","$3,01,00,000.00"
Whiplash,2014-01-16,https://en.wikipedia.org/wiki/Whiplash_(2014_film),Drama,Damien Chazelle,,J. K. Simmons,Miles Teller,Paul Reiser,Melissa Benoist,,"33,00,000","$4,90,00,000.00"
Whiskey Tango Foxtrot,2016-03-04,https://en.wikipedia.org/wiki/Whiskey_Tango_Foxtrot_(film),Drama,Glenn Ficarra,John Requa,Tina Fey,Margot Robbie,Martin Freeman,Billy Bob Thornton,Alfred Molina,"3,50,00,000","$2,49,00,000.00"
White House Down,2013-06-28,https://en.wikipedia.org/wiki/White_House_Down,Action,Roland Emmerich,,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,James Woods,Richard Jenkins,"15,00,00,000","$20,50,00,000.00"
Wild,2014-08-29,https://en.wikipedia.org/wiki/Wild_(2014_film),Drama,Jean-Marc Vallée,,Reese Witherspoon,Gaby Hoffmann,Michiel Huisman,Charles Baker,,"1,50,00,000","$5,25,00,000.00"
Winter's Tale,2014-02-13,https://en.wikipedia.org/wiki/Winter%2527s_Tale_(film),Drama,Akiva Goldsman,,Colin Farrell,Russell Crowe,Jessica Brown Findlay,Jennifer Connelly,Will Smith,"6,00,00,000","$3,11,00,000.00"
Wish I Was Here,2014-01-18,https://en.wikipedia.org/wiki/Wish_I_Was_Here,Drama,Zach Braff,,Zach Braff,Kate Hudson,Jim Parsons,Mandy Patinkin,Ashley Greene,"60,00,000","$55,00,000.00"
Woman in Gold,2015-04-01,https://en.wikipedia.org/wiki/Woman_in_Gold_(film),Drama,Simon Curtis,,Helen Mirren,Ryan Reynolds,Daniel Brühl,Katie Holmes,Tatiana Maslany,"1,10,00,000","$6,16,00,000.00"
Won't Back Down,2012-09-28,https://en.wikipedia.org/wiki/Won%2527t_Back_Down_(film),Drama,Daniel Barnz,,Viola Davis,Maggie Gyllenhaal,Holly Hunter,Ving Rhames,Rosie Perez,"1,90,00,000","$54,00,000.00"
Woodlawn,2015-10-16,https://en.wikipedia.org/wiki/Woodlawn_(film),Drama,The Erwin Brothers,,Sean Astin,Nic Bishop,Caleb Castille,Sherri Shepherd,Jon Voight,"1,30,00,000","$1,44,00,000.00"
World War Z,2013-06-21,https://en.wikipedia.org/wiki/World_War_Z_(film),Action,Marc Forster,,Brad Pitt,Mireille Enos,James Badge Dale,Daniella Kertesz,Matthew Fox,"19,00,00,000","$54,00,00,000.00"
Wrath of the Titans,2012-03-30,https://en.wikipedia.org/wiki/Wrath_of_the_Titans,Action,Jonathan Liebesman,,Sam Worthington,Liam Neeson,Ralph Fiennes,Edgar Ramirez,Rosamund Pike,"15,00,00,000","$30,53,00,000.00"
X-Men: Apocalypse,2016-05-09,https://en.wikipedia.org/wiki/X-Men:_Apocalypse,Action,Bryan Singer,,James McAvoy,Michael Fassbender,Jennifer Lawrence,Oscar Isaac,Nicholas Hoult,"17,80,00,000","$54,46,00,000.00"
X-Men: Days of Future Past,2014-05-10,https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,Action,Bryan Singer,,Hugh Jackman,James McAvoy,Michael Fassbender,Halle Berry,Jennifer Lawrence,"20,00,00,000","$74,79,00,000.00"
You're Next,2013-08-23,https://en.wikipedia.org/wiki/You%2527re_Next,Horror,Adam Wingard,,Sharni Vinson,Joe Swanberg,AJ Bowen,Nicholas Tucci,Barbara Crampton,"10,00,000","$2,68,00,000.00"
Zero Dark Thirty,2012-12-19,https://en.wikipedia.org/wiki/Zero_Dark_Thirty,Drama,Kathryn Bigelow,,Jessica Chastain,Chris Pratt,Joel Edgerton,Kyle Chandler,Jason Clarke,"4,00,00,000","$13,28,00,000.00"
Zhong Kui: Snow Girl and the Dark Crystal,2015-02-19,https://en.wikipedia.org/wiki/Zhong_Kui:_Snow_Girl_and_the_Dark_Crystal,Romance,Peter Pau,,Li Bingbing,Chen Kun,Yang Zishan,Winston Chao,Bao Bei'er,"3,00,00,000","$6,44,70,000.00"
Zoolander 2,2016-02-12,https://en.wikipedia.org/wiki/Zoolander_2,Comedy,Ben Stiller,,Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrell,Penélope Cruz,"5,00,00,000","$5,60,00,000.00"
